ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,Average Weekday - PM Peak,1400,1759,106,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Annual Total,,,,4869229,4869229,0,,144384,144384,0,,,,,,,,,,926359,,,25777961,365,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Typical Saturday,,,25,990,990,0,,29,29,0,,,,,,,,,,143,,,3540,52,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Typical Sunday,,,20,909,909,0,,27,27,0,,,,,,,,,,136,,,3509,52,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Typical Weekday,,,314,18278,18278,0,,542,542,0,,,,,,,,,,3494,,,97362,261,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Everett Transit,N,DR,DO,Annual Total,,,,628725,562334,66391,,50904,47134,3770,0,0,,,,,,,,113008,110638,0,697020,362,0,,0,
5,Everett Transit,N,DR,DO,Average Typical Saturday,700,2146,10,1016,915,101,,77,72,5,,,,,,,,,,174,,,1005,52,0,,0,
5,Everett Transit,N,DR,DO,Average Typical Sunday,700,2144,9,736,652,84,,59,55,4,,,,,,,,,,148,,,926,55,0,,0,
5,Everett Transit,N,DR,DO,Average Typical Weekday,430,2327,20,2100,1878,222,,171,158,13,,,,,,,,,,376,,,2329,255,0,,0,
