company,route,state1,state2,state3,urban_area1,urban_area2,urban_area3,bus_arr,pass_arr,bus_dep,pass_dep,capacity,location,level
Peter Pan/Bonanza,"Providence, RI",Rhode Island,,,"Providence, RI--MA",,,8,265.7208333,9,318.8794567,51.3,PABT,LL-SW
Rockland Coaches,Route 11A to PABT,,,,,,,20,487,20,438,51.3,PABT,4-SW
Rockland Coaches,Route 14E to PABT,,,,,,,9,281,9,245,51.3,PABT,4-SW
Rockland Coaches,Route 20 to PABT,,,,,,,24,841,24,817,51.3,PABT,4-SW
Rockland Coaches,Route 21T to PABT,,,,,,,6,134,4,107,51.3,PABT,4-SW
Rockland Coaches,Route 45/45A/45X to PABT,,,,,,,32,1087,27,948,51.3,PABT,4-SW
Rockland Coaches,Route 46 to PABT,,,,,,,2,72,1,22,51.3,PABT,4-SW
Rockland Coaches,Route 47 to PABT,,,,,,,15,528,15,531,51.3,PABT,4-SW
Rockland Coaches,Route 49 to PABT,,,,,,,9,289,9,331,51.3,PABT,4-SW
Rockland Coaches,Route 49J to Midtown,,,,,,,7,180,0,0,51.3,-,
Rockland Coaches,Route 49J to PABT,,,,,,,0,0,6,212,51.3,PABT,4-SW
Rockland Coaches,Route 9/9A to GWBBS,,,,,,,9,180,11,237,51.3,GWBBS,
